,s0,s1,s2,s_g0,s_g1,s_g2,a,r,r_disco
0,-0.10309999709826734,0.12391611354822307,0.26740496709012385,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,-0.8719612711168416,-0.8719612711168416
1,1.0,14.0,13.600000000000009,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.008541098802326452,0.026604870230528446
2,2.0,14.0,13.120000000000008,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.009354519179375465,0.03651998518238342
3,3.0,14.0,12.62400000000001,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.00996360983279071,0.0477126800504827
4,4.0,14.0,12.124800000000008,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.01053900807673655,0.06023474774742123
5,5.0,14.0,11.624960000000005,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.011109021382465084,0.0737966589962999
6,6.0,14.0,11.124991999999999,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.011669093736578151,0.7172683495123213
7,7.0,14.0,10.624998400000006,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.012204274282599986,0.6803183447121967
8,8.0,14.0,10.124999679999998,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.012693466107737222,0.6262923207156493
9,9.0,14.0,9.624999935999995,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.01311004767945781,0.5548089478137477
10,10.0,14.0,9.124999987199992,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.013422142268295911,0.46824208201363
11,11.0,14.0,8.62499999743999,-0.10309999709826734,0.12391611354822307,0.26740496709012385,3.0,0.7100716956364828,0.3715653058653
12,12.0,14.0,8.124999999487997,5.0,14.0,11.624960000000005,3.0,-0.019476555961418618,-0.019476555961418618
13,13.0,14.0,7.6249999998976,5.0,14.0,11.624960000000005,3.0,-0.023901511867711833,-0.21939381468102767
14,14.0,14.0,7.124999999979519,5.0,14.0,11.624960000000005,3.0,-0.028660879790293303,-0.26479642440755485
15,15.0,14.0,6.624999999995907,5.0,14.0,11.624960000000005,3.0,-0.03362330846828476,-0.277394158336479
16,16.0,14.0,6.124999999999186,5.0,14.0,11.624960000000005,3.0,-0.03861225482727382,-0.6281522150769078
17,17.0,14.0,5.624999999999844,5.0,14.0,11.624960000000005,3.0,-0.043416686469362364,-0.600800034821501
18,18.0,14.0,5.124999999999979,5.0,14.0,11.624960000000005,3.0,-0.04781077944201617,-0.5833396001945791
19,19.0,14.0,4.625000000000007,5.0,14.0,11.624960000000005,3.0,-0.05158006396704795,-0.5409753080360964
20,20.0,14.0,4.125000000000009,5.0,14.0,11.624960000000005,3.0,-0.054548790213229226,-0.4762521970884915
21,21.0,14.0,3.6250000000000107,5.0,14.0,11.624960000000005,3.0,-0.0566020921502115,-0.4072382607794836
22,22.0,14.0,3.1250000000000124,5.0,14.0,11.624960000000005,3.0,-0.057697662175420605,-0.37785334565522966
23,23.0,14.0,2.625000000000014,5.0,14.0,11.624960000000005,3.0,0.27979964097906806,-0.3515045302338849
24,24.0,14.0,2.125000000000016,14.0,14.0,7.124999999979519,3.0,-0.04113133078452269,-0.04113133078452269
25,25.0,14.0,1.6250000000000178,14.0,14.0,7.124999999979519,3.0,-0.04181531846403719,-0.13159586996091732
26,26.0,14.0,1.1250000000000195,14.0,14.0,7.124999999979519,3.0,-0.04182889412598323,-0.12104919678521692
27,27.0,14.0,0.6250000000000213,14.0,14.0,7.124999999979519,3.0,-0.04128303970815561,0.06976712952127781
28,28.0,14.0,0.1250000000000231,14.0,14.0,7.124999999979519,3.0,-0.04029492029564086,0.10976565049539623
29,29.0,14.0,-0.3749999999999769,14.0,14.0,7.124999999979519,1.0,-0.006275882990464443,0.1519961138904293
30,30.0,13.600000000000009,-0.474999999999977,14.0,14.0,7.124999999979519,0.0,-0.007231164896581377,0.16819336651929825
31,31.0,13.920000000000009,-0.494999999999977,14.0,14.0,7.124999999979519,3.0,-0.5053762396175181,0.17797954334466354
32,32.0,13.984000000000002,-0.8989999999999769,3.0,14.0,12.62400000000001,0.0,-0.022755927496950323,-0.022755927496950323
33,33.0,14.396800000000006,-0.9797999999999778,3.0,14.0,12.62400000000001,2.0,0.025227301664443313,0.7356817521613847
34,34.0,14.47936,-0.5959599999999781,3.0,14.0,12.62400000000001,1.0,0.014450033010637686,0.7245029120922424
35,35.0,14.095871999999986,-0.5191919999999777,3.0,14.0,12.62400000000001,3.0,-0.034368708743903464,0.7233780561704671
36,36.0,14.019174399999997,-0.9038383999999771,3.0,14.0,12.62400000000001,1.0,0.0015158869793870378,0.7731962756886827
37,37.0,13.603834879999997,-0.9807676799999769,3.0,14.0,12.62400000000001,1.0,0.00726412420907363,0.7877503255439829
38,38.0,13.120766975999999,-0.9961535359999778,3.0,14.0,12.62400000000001,1.0,0.00696908059790996,0.643534905542753
39,39.0,12.6241533952,-0.9992307071999789,3.0,14.0,12.62400000000001,2.0,0.027757605787527784,0.6936445222096593
40,40.0,12.52483067904,-0.5998461414399796,3.0,14.0,12.62400000000001,1.0,0.008026074978824627,0.6780950397244668
41,41.0,12.10496613580801,-0.5199692282879802,3.0,14.0,12.62400000000001,2.0,0.027273845438737065,0.6648056730721497
42,42.0,12.020993227161615,-0.10399384565757996,3.0,14.0,12.62400000000001,3.0,-0.02573151445813998,0.6257692521125332
43,43.0,12.004198645432332,-0.42079876913149894,3.0,14.0,12.62400000000001,1.0,-0.0035100808580714737,0.6786452630108927
44,44.0,11.600839729086477,-0.4841597538262836,3.0,14.0,12.62400000000001,3.0,-0.02829666198419528,0.6957227274945312
45,45.0,11.520167945817313,-0.8968319507652405,3.0,14.0,12.62400000000001,3.0,-0.008942074062459004,0.7348373021259157
46,46.0,11.516941074486546,-0.9933388386427988,3.0,14.0,12.62400000000001,2.0,0.69864052194397,0.7808669551136821
47,47.0,11.516941074486546,-0.5933388386427985,24.0,14.0,2.125000000000016,0.0,0.038046477322626004,0.038046477322626004
48,48.0,11.916941074486537,-0.5133388386427984,24.0,14.0,2.125000000000016,2.0,0.006325595348359081,0.10502505950235055
49,49.0,11.996941074486529,-0.09733883864279758,24.0,14.0,2.125000000000016,3.0,-0.0009658043394180638,0.10074015922471871
50,50.0,12.012941074486527,-0.4141388386427969,24.0,14.0,2.125000000000016,2.0,-0.0017804118530412305,0.0982235967942581
51,51.0,12.01614107448653,-0.07749883864279772,24.0,14.0,2.125000000000016,1.0,-0.04610568043346419,0.10399665615186503
52,52.0,11.616781074486521,-0.010170838642797886,24.0,14.0,2.125000000000016,2.0,0.2584452150152262,0.15649832715530715
53,53.0,11.536909074486516,0.40329476135720244,44.0,11.600839729086477,-0.4841597538262836,1.0,-0.008214457216059179,-0.008214457216059179
54,54.0,11.120934674486513,0.4859878813572016,44.0,11.600839729086477,-0.4841597538262836,1.0,-0.012374867675386425,-0.040108479990680276
55,55.0,10.637739794486507,0.5025265053572014,44.0,11.600839729086477,-0.4841597538262836,0.0,0.00733622769841713,-0.028534121354234065
56,56.0,10.941100818486504,0.5058342301572005,44.0,11.600839729086477,-0.4841597538262836,1.0,-0.009275114106332971,-0.03629487899988391
57,57.0,10.601773023286498,0.5064957751171995,44.0,11.600839729086477,-0.4841597538262836,0.0,0.00830501366107339,-0.034865416511808384
58,58.0,10.933907464246506,0.5066280841091975,44.0,11.600839729086477,-0.4841597538262836,3.0,0.004581595852954146,-0.07308553310096325
59,59.0,11.000334352438507,0.10665454590759849,44.0,11.600839729086477,-0.4841597538262836,0.0,0.008159988482119185,-0.05733914843460047
60,60.0,11.413619730076913,0.026659838267277802,44.0,11.600839729086477,-0.4841597538262836,0.0,0.004287012200398399,-0.06660584684954225
61,61.0,11.896276805604586,0.01066089673921189,44.0,11.600839729086477,-0.4841597538262836,0.0,-0.005451334128989904,-0.10315899459235017
62,62.0,12.392808220710123,0.007461108433599595,44.0,11.600839729086477,-0.4841597538262836,1.0,0.0047605839961787355,-0.17834542888245908
63,63.0,12.092114503731228,0.006821150772478024,44.0,11.600839729086477,-0.4841597538262836,2.0,0.0009880244390912951,-0.16457024387259553
64,64.0,12.031975760335449,0.4066931592402523,44.0,11.600839729086477,-0.4841597538262836,3.0,-0.005164200091235305,-0.229566662734292
65,65.0,12.0199480116563,0.08666756093380856,53.0,11.536909074486516,0.40329476135720244,2.0,0.0025586103058833354,0.0025586103058833354
66,66.0,12.017542461920467,0.42266244127252106,53.0,11.536909074486516,0.40329476135720244,3.0,-0.002610583678488876,-0.3343449426017455
67,67.0,12.017061351973297,0.08986141734026232,53.0,11.536909074486516,0.40329476135720244,2.0,0.002553330099808626,-0.35130806493101335
68,68.0,12.016965129983863,0.4233012125538127,53.0,11.536909074486516,0.40329476135720244,1.0,0.002653040663220363,-0.3604594724467096
69,69.0,11.616945885585974,0.489989171596521,60.0,11.413619730076913,0.026659838267277802,1.0,-0.0042691114338543334,-0.0042691114338543334
70,70.0,11.136942036706394,0.5033267634050609,60.0,11.413619730076913,0.026659838267277802,2.0,-0.004382441470770271,-0.23337897680175593
71,71.0,11.040941266930481,0.905994281766771,60.0,11.413619730076913,0.026659838267277802,0.0,0.005184505778045856,-0.21603442229961134
72,72.0,11.421741112975294,0.986527785439113,60.0,11.413619730076913,0.026659838267277802,2.0,-0.00016052952187406433,-0.1587710546691981
73,73.0,11.421741112975294,0.986527785439113,60.0,11.413619730076913,0.026659838267277802,3.0,0.0015585782580119778,-0.17119156558925452
74,74.0,11.421741112975294,0.5865277854391127,60.0,11.413619730076913,0.026659838267277802,3.0,-0.32121657700267436,-0.2027398112303578
75,75.0,11.421741112975294,0.10652778543911223,26.0,14.0,1.1250000000000195,3.0,0.005650723491973264,0.005650723491973264
76,76.0,11.421741112975294,-0.3894722145608882,26.0,14.0,1.1250000000000195,0.0,0.042079149814622685,0.0292846018309322
77,77.0,11.821741112975285,-0.4886722145608875,26.0,14.0,1.1250000000000195,0.0,0.05276592278611436,-0.4318535083489326
78,78.0,12.301741112975286,-0.5085122145608874,26.0,14.0,1.1250000000000195,1.0,-0.038223105088861176,-0.4938587992940795
79,79.0,11.997741112975284,-0.5124802145608882,26.0,14.0,1.1250000000000195,0.0,0.03665571826443448,-0.45783918368235615
80,80.0,12.336941112975286,-0.5132738145608879,26.0,14.0,1.1250000000000195,1.0,-0.04164098791568083,-0.49537171437571764
81,81.0,12.00478111297529,-0.5134325345608888,26.0,14.0,1.1250000000000195,1.0,-0.05447147982796485,-0.4522202411295123
82,82.0,11.53834911297529,-0.5134642785608885,26.0,14.0,1.1250000000000195,0.0,0.030450031141311618,-0.40087161029546786
83,83.0,11.845062712975285,-0.5134706273608876,26.0,14.0,1.1250000000000195,2.0,-0.000778709018988688,-0.44662412749501484
84,84.0,11.90640543297529,-0.11347189712088657,26.0,14.0,1.1250000000000195,2.0,-0.008702781870836951,-0.45292268284474013
85,85.0,11.918673976975295,0.36652784892711265,26.0,14.0,1.1250000000000195,0.0,0.048171910172637444,-0.4611136264270087
86,86.0,12.321127685775288,0.4625277981367124,26.0,14.0,1.1250000000000195,0.0,0.06392464846895018,-0.5347119777450203
87,87.0,12.801618427535281,0.4817277879786306,26.0,14.0,1.1250000000000195,0.0,0.06280859561278318,-0.6256333552657465
88,88.0,13.297716575887286,0.4855677859470151,26.0,14.0,1.1250000000000195,3.0,5.809257968669712e-05,-0.6983273987032425
89,89.0,13.396936205557683,0.08633578554069077,26.0,14.0,1.1250000000000195,3.0,-0.012220852073455468,-0.7038523394289883
90,90.0,13.41678013149177,-0.39351061454057445,26.0,14.0,1.1250000000000195,2.0,0.004291480026881178,-0.7167302996510143
91,91.0,13.42074891667859,-0.0894798945568267,26.0,14.0,1.1250000000000195,2.0,0.007327846234645219,-0.7300867331920438
92,92.0,13.421542673715951,0.37132624943992365,26.0,14.0,1.1250000000000195,1.0,0.11872017886394948,-0.7423682055927935
93,93.0,13.021701425123428,0.4634874782392737,78.0,12.301741112975286,-0.5085122145608874,1.0,0.005638691936418416,0.005638691936418416
94,94.0,12.541733175404925,0.4819197239991455,78.0,12.301741112975286,-0.5085122145608874,0.0,-0.0005156526891567648,-0.9080877087015247
95,95.0,12.84573952546123,0.48560617315112165,78.0,12.301741112975286,-0.5085122145608874,2.0,0.0006761663891111658,-0.9175995682429812
96,96.0,12.906540795472498,0.8863434629815146,78.0,12.301741112975286,-0.5085122145608874,0.0,-0.01603844920187203,-0.7412159971606809
97,97.0,13.318701049474743,0.9664909209475923,78.0,12.301741112975286,-0.5085122145608874,0.0,-0.06383972734562193,-0.756724463931529
98,98.0,13.801133100275191,0.9825204125408069,78.0,12.301741112975286,-0.5085122145608874,1.0,0.04818205973708789,-0.7434511185758724
99,99.0,13.497619510435285,0.9857263108594481,78.0,12.301741112975286,-0.5085122145608874,2.0,0.000505736593842121,-0.8317409946068828
100,100.0,13.497619510435285,0.9857263108594481,78.0,12.301741112975286,-0.5085122145608874,0.0,-0.06776515206812861,-0.8724182081016589
101,101.0,13.897619510435277,0.9857263108594481,78.0,12.301741112975286,-0.5085122145608874,0.0,-0.17292077628435631,-0.8095385573667625
102,102.0,14.377619510435263,0.9857263108594481,48.0,11.916941074486537,-0.5133388386427984,1.0,0.04897274871192692,0.04897274871192692
103,103.0,14.073619510435261,0.9857263108594481,52.0,11.616781074486521,-0.010170838642797886,0.0,-0.13331166101984993,-0.13331166101984993
104,104.0,14.412819510435245,0.9857263108594481,52.0,11.616781074486521,-0.010170838642797886,3.0,-0.03468434050555602,-0.610149304466667
105,105.0,14.480659510435242,0.5857263108594477,52.0,11.616781074486521,-0.010170838642797886,0.0,-0.18026238523436355,-0.5681181888854683
106,106.0,14.894227510435233,0.5057263108594476,52.0,11.616781074486521,-0.010170838642797886,3.0,-0.02815241942324398,-0.3583937969524077
107,107.0,14.976941110435217,0.08972631085944904,52.0,11.616781074486521,-0.010170838642797886,3.0,0.0013711273932653922,-0.3660769378891619
108,108.0,14.993483830435213,-0.39347368914055014,52.0,11.616781074486521,-0.010170838642797886,1.0,0.14691200273472815,-0.406625476509898
109,109.0,14.5967923744352,-0.4901136891405491,52.0,11.616781074486521,-0.010170838642797886,1.0,0.15868826564955052,-0.5477887498974897
